Program Name: COPY
Program Length: 27

Starting Address: 1000

Relocated Starting Address: 5000

005000 ---> 00
005001 ---> 00
005002 ---> 56
005003 ---> 48
005004 ---> 45
005005 ---> 48
005006 ---> 45
005007 ---> 00
005008 ---> 10
005009 ---> 06
00500A ---> 23
00500B ---> 10
00500C ---> 03
00500D ---> 00
00500E ---> 10
00500F ---> 06
005010 ---> 23
005011 ---> 10
005012 ---> 03
005013 ---> 00
005014 ---> 10
005015 ---> 06
005016 ---> 23
005017 ---> 10
005018 ---> 03
005019 ---> 00
00501A ---> 10
00501B ---> 06
00501C ---> 23
00501D ---> 10
00501E ---> 03
005021 ---> 00
005022 ---> 10
005023 ---> 06
005024 ---> 23
005025 ---> 10
005026 ---> 03
